mirID 	youngRep1_AS_ZT0	youngRep1_AS_ZT4	youngRep1_AS_ZT8	youngRep1_AS_ZT12	youngRep1_AS_ZT16	youngRep1_AS_ZT20	youngRep2_AS_ZT0	youngRep2_AS_ZT4	youngRep2_AS_ZT8	youngRep2_AS_ZT12	youngRep2_AS_ZT16	youngRep2_AS_ZT20	oldRep1_AS_ZT0	oldRep1_AS_ZT4	oldRep1_AS_ZT8	oldRep1_AS_ZT12	oldRep1_AS_ZT16	oldRep1_AS_ZT20	oldRep2_AS_ZT0	oldRep2_AS_ZT4	oldRep2_AS_ZT8	oldRep2_AS_ZT12	oldRep2_AS_ZT16	oldRep2_AS_ZT20
dme-miR-1000-3p_MIMAT0020900 	267.0 	503.0 	419.0 	456.0 	501.0 	493.5 	444.0 	413.5 	552.0 	478.0 	411.5 	445.5 	304.0 	350.0 	255.0 	343.0 	335.0 	408.5 	352.0 	389.5 	336.5 	471.5 	379.0 	184.0 
dme-miR-92a-3p_MIMAT0000334 	22.0 	38.0 	65.5 	55.5 	65.5 	45.0 	55.0 	50.0 	83.0 	50.5 	27.5 	25.0 	95.5 	38.0 	31.5 	46.5 	43.5 	38.5 	48.0 	48.5 	44.5 	58.0 	23.0 	27.0 
dme-miR-92a-5p_MIMAT0020802 	3.0 	0.0 	10.0 	25.0 	11.0 	12.0 	8.0 	6.0 	2.0 	4.0 	4.0 	1.0 	0.0 	12.0 	1.0 	7.0 	12.0 	2.0 	11.0 	4.0 	2.0 	6.0 	14.0 	2.0 
dme-miR-92b-3p_MIMAT0000358 	2314.0 	7217.0 	8891.5 	8242.5 	9335.5 	9453.0 	5514.0 	8595.0 	11688.0 	7291.5 	5477.5 	6404.0 	10451.5 	8999.0 	6393.5 	5935.5 	5078.5 	7855.5 	9944.0 	9705.5 	8980.5 	9894.0 	5870.0 	4554.0 
dme-miR-92b-5p_MIMAT0020819 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.0 	0.0 	2.0 	0.0 	0.0 	0.0 	0.0 	0.0 	2.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
dme-miR-1012-3p_MIMAT0005025 	1222.0 	2672.5 	2716.0 	2296.5 	3600.5 	2372.0 	2945.5 	3781.0 	4013.0 	3569.5 	2325.0 	2679.0 	1883.5 	1304.5 	1338.5 	1904.0 	1862.0 	1482.5 	1400.5 	1473.0 	1263.5 	1658.5 	998.0 	1315.5 
dme-miR-1012-5p_MIMAT0020906 	3153.5 	6382.0 	5913.0 	4130.5 	6991.5 	6011.33333333 	5901.5 	6197.5 	6366.5 	6478.0 	5546.0 	6493.5 	5070.0 	4120.5 	4447.0 	5363.0 	4784.5 	6013.5 	4072.0 	5330.5 	4311.0 	6550.0 	4104.5 	4020.5 
dme-miR-1001-5p_MIMAT0005521 	1533.5 	2596.5 	3111.0 	4222.5 	3208.5 	3672.0 	3431.0 	3185.0 	3493.0 	3253.5 	2478.0 	3232.0 	3747.5 	4070.0 	3193.5 	4844.0 	4466.0 	3900.5 	4664.0 	4760.5 	4725.0 	5518.5 	4565.5 	3474.5 
dme-miR-1001-3p_MIMAT0020901 	55.5 	90.0 	102.0 	73.0 	117.5 	93.5 	90.5 	142.5 	156.0 	108.0 	64.0 	83.0 	110.5 	103.0 	104.0 	107.5 	92.5 	73.5 	90.0 	108.0 	75.0 	110.5 	53.0 	97.0 
dme-miR-4947-5p_MIMAT0020157 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	3.0 	0.0 	0.0 	1.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
dme-miR-279-3p_MIMAT0000341 	35150.0 	31523.0 	35791.0 	37051.0 	52747.0 	41659.0 	52969.0 	47448.0 	52384.0 	46540.0 	30250.0 	41648.0 	30654.0 	20464.5 	22055.0 	48666.0 	50926.5 	21839.0 	29033.0 	24574.0 	27378.0 	22028.0 	17514.0 	25220.0 
dme-miR-279-5p_MIMAT0020807 	3.0 	7.0 	6.0 	6.0 	9.0 	5.0 	16.0 	15.0 	7.0 	8.0 	11.0 	8.0 	8.0 	5.0 	4.0 	7.0 	14.0 	3.0 	16.0 	3.0 	10.0 	4.0 	7.0 	3.0 
dme-miR-996-3p_MIMAT0005515 	7762.33333333 	23714.8333333 	31437.0 	33566.5 	34296.0 	32633.3333333 	36064.0 	35433.5 	41811.5 	36041.0 	26275.8333333 	37383.0 	38112.8333333 	33018.1666667 	33722.5 	45829.8333333 	42316.6666667 	36410.0 	42987.1666667 	44517.5 	40573.8333333 	39049.8333333 	31210.6666667 	36884.0 
dme-miR-996-5p_MIMAT0020895 	1007.0 	2733.0 	2779.0 	2625.0 	2960.0 	2930.0 	2646.0 	2771.0 	3157.0 	2884.0 	2753.0 	2712.0 	2941.0 	2697.0 	2803.0 	3654.5 	3245.0 	3515.0 	2809.0 	3505.0 	2575.0 	3767.0 	2705.0 	2677.0 
dme-miR-4908-3p_MIMAT0020514 	0.0 	0.0 	1.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
dme-miR-1013-3p_MIMAT0005026 	949.166666667 	1494.0 	1620.83333333 	1851.16666667 	1950.33333333 	1896.66666667 	1757.83333333 	1823.5 	1940.0 	1968.0 	1400.0 	1729.16666667 	1582.16666667 	1355.16666667 	1292.5 	1737.5 	1499.5 	1418.66666667 	1740.33333333 	1744.83333333 	1579.83333333 	1890.33333333 	1425.5 	1258.0 
