mirID	logFC	unshrunk.logFC	logCPM	PValue
dme-miR-184-3p_MIMAT0000331 	5.65619561445332	5.65619570031557	17.1751859104791	1.5499641772516e-12
dme-miR-9379-5p_MIMAT0035221 	52.0978289548184	53.4811165724942	-3.37730818568021	7.20164859202902e-37
dme-miR-9379-3p_MIMAT0035222 	39.5858298504573	39.6002390315298	0.249651330660069	1.51440935734736e-37
dme-miR-4978-5p_MIMAT0020210 	47.7323093369084	47.983094781825	-2.765649088701	5.40471457198779e-33
dme-miR-989-3p_MIMAT0005506 	38.8170670306893	38.8295207288687	0.777640278384519	1.38128631061136e-14
dme-miR-989-5p_MIMAT0020887 	53.6348782591071	144269531.041917	-3.46160388440638	4.48402062467443e-25
dme-miR-308-3p_MIMAT0000399 	26.5110795392257	26.5112581249868	6.89396565779879	4.75382851620639e-39
dme-miR-308-5p_MIMAT0020833 	26.193028950977	26.1931745691146	6.91748623527843	1.2426490257792e-36
dme-miR-1016-3p_MIMAT0005029 	40.9225823028525	40.9467134222171	-0.281530925403023	2.82186434149128e-39
dme-miR-1016-5p_MIMAT0020908 	39.2592769989626	39.2721111746465	0.401204601750403	1.47443389633067e-41
dme-miR-278-3p_MIMAT0000339 	15.7203544673782	15.7203581001933	12.0763635520444	6.46108751731556e-39
dme-miR-278-5p_MIMAT0020805 	19.6948558594215	19.6948704349716	10.0969161724643	2.30096491007132e-22
dme-miR-4919-5p_MIMAT0020513 	48.8827096975624	49.3308765382363	-2.93506598241937	4.12405459247897e-33
dme-miR-4919-3p_MIMAT0032117 	28.8746943564984	28.875047867293	5.51673476390576	1.714863990384e-40
dme-miR-137-3p_MIMAT0005507 	25.3132450101896	25.3133464639368	7.27571971983216	8.55798867043922e-39
dme-miR-137-5p_MIMAT0020888 	33.5539144330031	33.5556772271071	3.16865055917047	3.48164522984546e-37
dme-miR-8-3p_MIMAT0000113 	5.11825426683906	5.11825432835353	17.3774689031997	1.28720094105374e-30
dme-miR-8-5p_MIMAT0020791 	18.490257986175	18.4902675246628	10.6914857958104	9.32781766051601e-38
dme-miR-990-5p_MIMAT0005508 	23.7159604649582	23.7160246029633	8.21139944670259	2.08974548170822e-40
dme-miR-990-3p_MIMAT0020889 	48.6790177441623	49.0350837168024	-2.95740264602648	5.87701842314011e-33
dme-miR-3643-5p_MIMAT0018059 	54.9038781827184	288539008.177793	-3.52037075777795	1
dme-miR-3643-3p_MIMAT0018060 	54.1257182343837	144269532.031875	-3.48962014495257	2.27122271242571e-26
dme-miR-31a-5p_MIMAT0000400 	16.0424570861522	16.0424611945568	11.9303094083206	5.5694620447695e-32
dme-miR-31a-3p_MIMAT0020834 	38.3445125173862	38.3538377231512	0.834778675098396	1.51385669570874e-37
dme-miR-11182_MIMAT0043998 	32.6684484494627	32.6697489437272	3.607923756527	3.76416032782142e-44
dme-miR-4982-5p_MIMAT0020215 	47.592209964588	47.8510465927817	-2.69406577420362	3.56222051908404e-32
dme-miR-4982-3p_MIMAT0020216 	49.8693460810234	50.4340633064135	-3.13962363248312	9.39614149349775e-33
